δʼ	δέ
λέονθʼ	λέων
λίγʼ	λιγύς
μοῦσʼ	μοῦσα
οὐθʼ	οὔτε
πόλινδʼ	πόλις
σχήσεσθʼ	ἔχω
φῶτʼ	φώς
ἕπτʼ	ἑπτά
ἥντινʼ	ὅστις
ἵετʼ	ἵημι
σῆμʼ	σῆμα
τηλόθʼ	τηλόθι
ἔτʼ	ἔτι
τόφρʼ	τόφρα
Ἕκτορʼ	ἕκτωρ
γούνατʼ	γόνυ
νῆʼ	ναῦς
περικαλλέʼ	περικαλλής
φῦλʼ	φῦλον
ὄρνυτʼ	ὄρνυμι
κάλʼ	καλός
οὔποτʼ	οὔποτε
ὅτʼ	ὅτε
αὐτίκʼ	αὐτίκα
ἅμʼ	ἅμα
θʼ	τε
Νέστορʼ	νέστωρ
αὐτίχʼ	αὐτίκα
δῶκʼ	δίδωμι
εἵατʼ	ἧμαι
κρατέρʼ	κρατερός
λάβʼ	λαμβάνω
οὔατʼ	οὖς
οὔνομʼ	ὄνομα
πάνθʼ	πᾶς
ἅλαδʼ	ἅλς
ἅρματʼ	ἅρμα
ἵκετʼ	ἱκνέομαι
ἐφʼ	ἐπί
δύʼ	δύο
ὑφʼ	ὑπό
φάρμακʼ	φάρμακον
φαίνετʼ	φαίνω
εὖτʼ	εὖτε
ὁπότʼ	ὁπότε
οὕνεκʼ	οὕνεκα
Αἴανθʼ	αἴας
βάλλʼ	βάλλω
δάκρυʼ	δάκρυον
δαίνυνθʼ	δαίνυμι
εἵπετʼ	ἕπομαι
κύμαθʼ	κῦμα
λίσσεσθʼ	λίσσομαι
μένεʼ	μένω
νόσφʼ	νόσφι
οὔτινʼ	οὔτις
πέτετʼ	πέτομαι
πυθμένʼ	πυθμήν
πότνιʼ	πότνια
τοὔνεχʼ	ἕνεκα
τόσσʼ	τόσος
φρονέοντʼ	φρονέω
ἅρμʼ	ἅρμα
ἐφράσαθʼ	φράζω
ἐόνθʼ	εἰμί
ἔσχʼ	ἔχω
ἔχοντʼ	ἔχω
ἥρωʼ	ἥρως
ὅντινʼ	ὅστις
ᾤχοντʼ	οἴχομαι
ὅθʼ	ὅτε
κεῖτʼ	κεῖμαι
χεῖρʼ	χείρ
λίπετʼ	λείπω
τέρματʼ	τέρμα
φρονέουσʼ	φρονέω
ἔπεʼ	ἔπος
ᾤχετʼ	οἴχομαι
μῆλʼ	μῆλον
ἄντʼ	ἀντί
Ὀδυσῆʼ	ὀδυσσεύς
τεύχεʼ	τεῦχος
ἔπειθʼ	ἔπειτα
παρʼ	παρά
μέγʼ	μέγας
ἄλλʼ	ἄλλος
ἀμφʼ	ἀμφί
πρόσθʼ	πρόσθεν
δύνατʼ	δύναμαι
κύματʼ	κῦμα
ἔπʼ	ἐπί
ἀφʼ	ἀπό
πῆμʼ	πῆμα
δαῖτʼ	δαίς
ἔπειτʼ	ἔπειτα
ἔνθʼ	ἔνθα
ἀπʼ	ἀπό
κῆρʼ	κήρ
ἔπλετʼ	πέλω
ὑπʼ	ὑπό
ἀνʼ	ἀνά
Παλλάδʼ	παλλάς
θυγατέρʼ	θυγάτηρ
λιποῦσʼ	λείπω
μήδεʼ	μῆδος
μῆρʼ	μηρός
συμφέρετʼ	συμφέρω
φαίνεθʼ	φαίνω
χιτῶνʼ	χιτών
ἄσπετʼ	ἄσπετος
ἐξέλετʼ	ἐξαιρέω
ἔασʼ	ἐάω
ἔμενʼ	εἰμί
ἕποντʼ	ἕπομαι
ὥστʼ	ὥστε
γείνατʼ	γίγνομαι
οὕνεχʼ	οὕνεκα
πάροιθʼ	πάροιθε
ἕπετʼ	ἕπομαι
ἠύτʼ	ἠύτε
ἤλυθʼ	ἔρχομαι
αὖτʼ	αὖτε
σφʼ	σφεῖς
βάλʼ	βάλλω
γένετʼ	γίγνομαι
κατʼ	κατά
ἦλθʼ	ἔρχομαι
βέλεʼ	βέλος
δέμνιʼ	δέμνιον
δειδέχατʼ	δέχομαι
κεῖνʼ	κεῖνος
μαίνετʼ	μαίνομαι
νύχθʼ	νύξ
τέρποντʼ	τέρπω
τοῖσδʼ	ὅδε
τρίποδʼ	τρίπους
χέρσʼ	χείρ
χείρεσσʼ	χείρ
ἔγχεʼ	ἔγχος
ἕσπετʼ	ἕπομαι
ἠκέσατʼ	ἀκέομαι
ἡγεμόνευʼ	ἡγεμονεύω
ἤλασʼ	ἐλαύνω
ὦκʼ	ὦκα
γίγνετʼ	γίγνομαι
νύκτʼ	νύξ
ταῦθʼ	οὗτος
ἑσταότʼ	ἵστημι
αἶψʼ	αἶψα
αἷμʼ	αἷμα
ἔχʼ	ἔχω
διʼ	διά
δούρατʼ	δόρυ
μεγάλʼ	μέγας
τότʼ	τότε
καθʼ	κατά
εὖθʼ	εὖτε
λήθετʼ	λανθάνω
στρωφῶντʼ	στρωφάω
ἔξοχʼ	ἔξοχος
αὖθʼ	αὖτε
πρῶτʼ	πρῶτος
σήματʼ	σῆμα
ἵκεθʼ	ἱκνέομαι
λίπʼ	λείπω
φεύγοντʼ	φεύγω
ἐτράπετʼ	τρέπω
ἔντεʼ	ἔντεα
ἔχουσʼ	ἔχω
εἰπʼ	λέγω
ἄγχʼ	ἄγχι
ἔβαλʼ	βάλλω
ὤρνυτʼ	ὄρνυμι
εἰποῦσʼ	λέγω
εὔχετʼ	εὔχομαι
αὐχένʼ	αὐχήν
ὄμματʼ	ὄμμα
ἄλλοτʼ	ἄλλοτε
δαίνυντʼ	δαίνυμι
ἔφατʼ	φημί
πείσματʼ	πείσμα
ἕζετʼ	ἕζομαι
ἔφαθʼ	φημί
φάτʼ	φημί
