Αγαυη	Ἀγαύη
εφετμη	ἐφετμή
ζυγιος	ζύγιος
ηβη	ἥβη
ηβητηρ	ἡβητήρ
ηδει	ἡδεῖ
ηεριος	ἠέριος
ηθας	ἠθάς
ηιθεος	ἠΐθεος
ηιθεω	ἠιθέω
ημιθανης	ἡμιθανής
ηχι	ἧχι
ηχω	ἠχώ
ηως	ἠώς
θαλαμος	θάλαμος
θαλυσια	θαλύσια
θεαινα	θεαῖνα
θεσμος	θεσμός
θεσπεσιος	θεσπέσιος
θηρα	θήρα
ιμασθλη	ἱμάσθλη
ιμερτης	ἱμερτής
ινα	ἵνα
ιοχεαιρη	ἰοχεαίρη
ιππειος	ἵππειος
ιω	ἰώ
και	καί
καλυπτω	καλύπτω
καματος	κάματος
καρηνον	κάρηνον
καρτερος	καρτερός
κειρω	κείρω
κελευθος	κέλευθος
κενεος	κενεός
κεραα	κεράα
κεραια	κεραία
κεραιη	κεραίη
κεστος	κεστός
κηπος	κῆπος
κητος	κῆτος
κινυρη	κινυρή
κληις	κληῖς
κληρος	κλῆρος
κνημις	κνημίς
κοιλη	κοίλη
κοιτος	κοίτος
κολωνη	κολώνη
κομη	κόμη
κορυθαιολος	κορυθαίολος
κορυμβος	κόρυμβος
κουρητες	Κουρῆτες
κουριδιος	κουρίδιος
κουρος	κοῦρος
κουφιζω	κουφίζω
κουφος	κοῦφος
κρειων	κρείων
κρηνη	κρήνη
κρηπις	κρηπῖς
κρυφιος	κρύφιος
κτεινω	κτείνω
κτερη	κτέρη
κυανεος	κυάνεος
κωνος	κώνος
λαινος	λᾶϊνος
λασιος	λασίος
λειπω	λείπω
λεπαδνον	λεπάδνον
λιγυς	λιγύς
λιλαιομαι	λιλαίομαι
λοιβας	λοιβή
λοιβης	λοιβή
λοξος	λοξός
λοχιος	λόχιος
λυσιπονος	λυσίπονος
μαζος	μαζός
μαλʼ	μάλʼ
μαντιπολος	μαντιπόλος
μαρμαρυγη	μαρμαρυγή
μαχητας	μαχητάς
μαχητης	μαχητής
μαχομαι	μάχομαι
