Αγαυη	Ἀγαύη
Κασσιεπεία	Κασσιέπεια
Καυκάσος	Καύκασος
Κεφάλος	Κέφαλος
Κυθερεία	Κυθέρεια
Κυπριδίος	Κυπρίδιος
Μαιονία	Μαιονία
Νεοπτολέμος	Νεοπτόλεμος
Νηρείς	Νηρεΐς
Νηρεύς	Νηρεύς
Νίκαια	Νίκαια
Νόμιος	Νομίος
Ξάνθός	Ξάνθος
Ὀρχομενός	Ὀρχομενός
Πακτωλὸς	Πακτωλός
Πενθής	Πενθής
Περσεφονεία	Περσεφόνεια
Πηνελόπεια	Πηνελόπεια
Πηνελοπείη	Πηνελοπείη
Πρωτεὺς	Πρωτεύς
Σατῦρος	Σάτυρος
Σειληνὸς	Σειληνός
Σεμέλη	Σεμέλη
Σικελὸς	Σικελός
Σκῦρος	Σκύρος
Στάφυλος	Στάφυλος
Τάφιος	Τάφιος
Τηλεμάχος	Τηλέμαχος
Τιτηνίς	Τιτηνίς
Τιτυός	Τιτυός
Τρώιος	Τρώϊος
Τυφῶν	Τυφῶν
Φαιήκες	Φαίηκες
Φαιήκς	 Φαίηξ
ἁβρὸς	ἁβρός
ἀγακλυτός	ἀγακλυτός
ἄγαμαι	ἄγαμαι
ἀγλαία	ἀγλαΐα
ἀγνώστος	ἄγνωστος
ἀγός	ἄγος
ἄγραυλος	ἄγραυλος
ἄγρυπνος	ἀγρύπνος
ἀγχεμάχος	ἀγχέμαχος
ἀδινός	ἀδινός
ἄειδω	ἀείδω
ἀεικελῖος	ἀεικέλιος
ἄεξω	ἀέξω
ἄζομαι	ἅζομαι
ἀήτης	ἀήτης
ἀθρόος	ἀθρόος
ἄθυρμα	ἀθύρμα
αἰγὶς	αἰγίς
ἀίδης	ἀΐδης
αἰθερῖος	αἰθέριος
αἴθοψ	αἴθοψ
αἰνός	αἶνος
αἰόλος	αἴολος
ἀΐσσω	ἀΐσσω
ἄϊστος	ἄιστος
ἀιστῶζω	ἀιστόω
αἰτεω	αἰτέω
αἰχμητής	αἰχμητής
ἀίων	αἰών
̓ἀλέξανδρος	Ἀλέξανδρος
ἁλίος	ἅλιος
ἁλὶς	ἅλις
ἀλλοίος	ἀλλοῖος
ἀλλοτρίος	ἀλλότριος
ἅλς	ἅλς
ἄλυσσω	ἀλύσσω
ἀμαρύγμα	ἀμάρυγμα
ἀμοιβαδίς	ἀμοιβαδίς
ἀμφοτέρος	ἀμφότερος
ἄναγκαιος	ἀναγκαῖος
ἀναιμωτί	ἀναιμωτί
ἀναίσσω	ἀναΐσσω
ἀνάλκις	ἀνάλκις
ἅναξ	ἄναξ
ἄνασσα	ἄνασσα
ἀνδρομέος	ἀνδρόμεος
ἄνεμος	ἄνεμος
ἀνία	ἀνία
ἀντιβίος	ἀντίβιος
ἀντιθέος	ἀντίθεος
ἀντιτύπος	ἀντίτυπος
ἀξιός	ἄξιος
ἀοιδή	ἀοιδή
ἀοιδὸς	ἀοιδός
ἀπειλῇ	ἀπειλή
ἀπό	ἀπό
ἀποθρῴσκω	ἀποθρῴσκω
ἀπροϊδής	ἀπροϊδής
ἀργῆς	ἀργής
ἀργός	ἀργός
ἄρμα	ἅρμα
ἀρνειὸς	ἀρνειός
ἀροτρεύς	ἀροτρεύς
ἄροτρον	ἄροτρον
ἀσπαστός	ἀσπαστός
ἀστεροπὴ	ἀστεροπή
ἀστραγάλος	ἀστράγαλος
ἀστραῖος	ἀστραῖος
ἀτμός	ἀτμός
ατρείδης	Ἀτρείδης
αὖλαξ	αὔλαξ
αὔρα	αὔρα
αὐτόγονος	αὐτόγονος 
ἀυτός	αὐτός
αὐτοτελὴς	αὐτοτελής
ἀφνειός	ἀφνειός
ἀχεύω	ἀχεύω
βαιός	βαιός
βελέμνον	βέλεμνον
βλέφαρον	βλέφαρον
βρονταίος	βρονταῖος
βροτέῃ	βροτέη
βυθῖος	βύθιος
βυθός	βυθός
γαῖα	γαῖα
γαλήνη	γαλήνη
γαμίος	γάμιος
γενέθλῃ	γενέθλη
γενείον	γενείον
γενετή	γενετή
γηραλέος	γηραλέος
γλαυκός	γλαυκός
γλυκερός	γλυκερός
γνωτή	γνωτή
γυῖον	γυῖον
δαιδάλεος	δαιδάλεος
δαΐζω	δαΐζω
δαιμονῖος	δαιμόνιος
δαίς	δαίς
δάκρυω	δακρύω
δαπέδον	δάπεδον
δέ	δέ
δειλή	δειλή
δεῖμα	δεῖμα
δεῖπνον	δεῖπνον
δεσποίνα	δέσποινα
δήιος	δηῖος
δηιοτῆς	δηιοτής
δῆμος	δῆμος
δήνος	δῆνος
δηρός	δηρός
δηώ	δήω
διέξ	διέξ
διερός	διερός
διόνυσος	Διόνυσος
δῖος	δῖος
διχθαδῖος	διχθαδίος
δμῶα	δμῶα
δμωίς	δμωίς
δόλιος	δόλιος
δρῦς	δρῦς
δυστήνος	δύστηνος
ἐδωδή	ἐδωδή
ἔελδομαι	ἔελδομαι
ἐέρση	ἐέρση
εἴαρ	εἴαρ
εἰαρινός	εἰαρινός
εἵδω	εἴδω
εἴδωλον	εἴδωλον
εἰκώ	εἴκω
εἰναλῖος	εἰνάλιος
εἷς	εἷς
ὲκ	ἐκ
ἔλαφος	ἔλαφος
ἑλίσσω	ἑλίσσω
ὲν	ἐν
ἐναύλος	ἐναύλος
ἐντός	ἐντός
ἐπαΐσσω	ἐπαΐσσω
ἐπείγω	ἐπείγω
ἔπερχομαι	ἐπέρχομαι
ἐπηετανὸς	ἐπηετανός
ἐπιχθονῖος	ἐπιχθόνιος
ἐπουρανῖος	ἐπουράνιος
ἐρείδω	ἐρείδω
ἐρετμὰ	ἐρετμά
ἐρέυγω	ἐρεύγω
ἐρῆμος	ἐρήμος
ἑσμός	ἑσμός
ἑσπερῖος	ἑσπέριος
ἐστέπτω	ἐστέπτω
ἐσχαρεών	ἐσχαρεών
ἕτερος	ἕτερος
εὖ	εὖ
ἐύθρονος	εὔθρονος
ἐυπλόκαμος	εὐπλόκαμος
εὔπυργος	εὔπυργος
εὔπωλος	εὔπωλος
ἐύς	 ἐύς
ἐϋσταθής	ἐυσταθής
ἐυτρόχαλος	ἐυτρόχαλος
ἐυφραίνω	εὐφραίνω
εὐφρονέων	εὐφρονέων
ἐϋφροσύνη	εὐφροσύνη
ἐύφρων	εὔφρων
ἐφετμή	ἐφετμή
ζύγιος	ζύγιος
ἥβη	ἥβη
ἡβητήρ	ἡβητήρ
ἡδέι	ἡδεῖ
ἠερῖος	ἠέριος
ἠθάς	ἠθάς
ἠίθεος	ἠΐθεος
ἠιθέῳ	ἠιθέω
ἡμιθανὴς	ἡμιθανής
ἧχί	ἧχι
ἠχὼ	ἠχώ
ἠῷς	ἠώς
θάλαμος	θάλαμος
θαλυσιὰ	θαλύσια
θεαῖνα	θεαῖνα
θεσμός	θεσμός
θεσπέσιος	θεσπέσιος
θήρα	θήρα
ἱμάσθλη	ἱμάσθλη
ἱμερτῆς	ἱμερτής
ἵνα	ἵνα
ἰοχεαίρῃ	ἰοχεαίρη
ἱππεῖος	ἵππειος
ἰῶ	ἰώ
καἰ	καί
καλύπτω	καλύπτω
κάματος	κάματος
καρήνον	κάρηνον
καρτερὸς	καρτερός
κεῖρω	κείρω
κελεύθος	κέλευθος
κενεός	κενεός
κεραά	κεράα
κεραία	κεραία
κεραίη	κεραίη
κεστός	κεστός
κήπος	κῆπος
κήτος	κῆτος
κινυρὴ	κινυρή
κληίς	κληῖς
κλήρος	κλῆρος
κνημῖς	κνημίς
κοίλη	κοίλη
κοῖτος	κοίτος
κολώνη	κολώνη
κόμη	κόμη
κορυθαίολος	κορυθαίολος
κορύμβος	κόρυμβος
κουρῆτες	Κουρῆτες
κουρίδιος	κουρίδιος
κούρος	κοῦρος
κούφιζω	κουφίζω
κοῦφος	κοῦφος
κρειῶν	κρείων
κρήνη	κρήνη
κρηπίς	κρηπῖς
κρυφῖος	κρύφιος
κτεῖνω	κτείνω
κτέρη	κτέρη
κυάνεος	κυάνεος
κῶνος	κώνος
λάινος	λᾶϊνος
λασῖος	λασίος
λείπω	λείπω
λεπάδνον	λεπάδνον
λιγύς	λιγύς
λίλαιομαι	λιλαίομαι
λοιβὰς	λοιβή
λοιβὴς	λοιβή
λοξὸς	λοξός
λόχιος	λόχιος
λυσιπόνος	λυσίπονος
μαζός	μαζός
μάλʼ	μάλʼ
μαντιπόλος	μαντιπόλος
μαρμαρυγή	μαρμαρυγή
μαχητὰς	μαχητάς
μαχητής	μαχητής
μάχομαι	μάχομαι
μειλίχιος	μειλίχιος
μελάθρον	μέλαθρον
μελέος	μέλεος
μενεπτόλεμος	μενεπτόλεμος
μενοινή	μενοινή
μήλον	μῆλον
μητήρ	μήτηρ
μήτις	μῆτις
μιμηλὸς	μιμηλός
μιμνήσκω	μιμνῄσκω
μινυνθαδῖος	μινυνθαδῖος
μορφή	μορφή
μύκημα	μύκημα
ναύμαχος	ναυμάχος
ναῦς	ναῦς
νέατος	νεάτος
νεβρίς	νεβρίς
νεβρός	νεβρός
νείκος	νεῖκος
νέμεσίς	νέμεσις
νεῦμα	νεῦμα
νηϊάδες	νηϊάδες
νηιὰς	νηιάς
νήις	νῆις
νηπενθής	νηπενθής
νηπιάχος	νηπιάχος
νοήμα	νόημα
νόμιος	νόμιος
νύμφη	νύμφη
νυμφιδίος	νυμφιδίος
νύχιος	νύχιος
νωθρὸς	νωθρός
νώτον	νῶτον
ξανθός	ξανθός
ὁδʼ	ὅδʼ
ὀδύνῃ	ὀδύνη
οἴδμα	οἶδμα
ὀιζύν	ὀϊζύν
ὀϊζυρός	ὀϊζυρός
ὀιζύς	ὀϊζύς
οἰνάς	οἰνάς
ὀίομαι	οἴομαι
οἶς	οἶς
ὀιστεύω	ὀϊστεύω
ὀϊστοῖς	ὀϊστοῖς
ὀϊστός	ὀϊστός
ὀίω	οἴω
ὄλεω	ὄλεω
ὁλκὸς	ὁλκός
ὁμίχλη	ὁμίχλη
ὅμοιος	ὅμοιος
ὀμφή	ὀμφή
ὀνείρος	ὄνειρος
ὀξυτενὴς	ὀξυτενής
ὄπαζω	ὀπάζω
ὀπιπευτήρ	ὀπιπευτήρ
ὀπίς	ὄπις
ὁπλός	ὁπλός
ὀπώρα	ὀπώρα
ὁρμὸς	ὅρμος
ὄρπηξ	ὅρπηξ
ὁτέ	ὅτε
οὐθʼ	οὔθʼ
οὐράνιος	οὐράνιος
οὔτʼ	οὔτʼ
παντοῖος	παντοῖος
παραίσσω	παραΐσσω
παρειαὶμι	παρειαίμι
παρθενικὴ	παρθενική
πασσυδίη	πασσυδίη
παστός	παστός
πάταγος	πάταγος
πατήρ	πατήρ
παύρος	παῦρος
πεδίλον	πέδιλον
πεῖσμα	πεῖσμα
πελάγος	πέλαγος
πέλεια	πέλεια
πελώριος	πελώριος
πέτρα	πέτρα
πηκτίς	πηκτίς
πήμα	πῆμα
πιέζω	πιέζω
πινυτός	πινυτός
πλόκαμος	πλόκαμος
ποίη	ποίη
ποιητός	ποιητός
πολέμιζω	πολεμίζω
πολέμος	πόλεμος
πολῖς	πόλις
πολυπίδαξ	πολυπίδαξ
ποντοπόρος	ποντόπορος
προΐημι	προΐημι
πρότερος	πρότερος
προχοὴ	προχοή
πτερὸν	πτερόν
πυρσός	πυρσός
ῥῖπτω	ῥίπτω
ῥοθίον	ῥοθίον
ῥοθίος	ῥόθιος
ῥοπάλον	ῥόπαλον
σειρῆ	σειρή
σκῆπτρον	σκῆπτρον
σκοπέλος	σκόπελος
σπεῖρω	σπείρω
σπεύδω	σπεύδω
σταδίος	στάδιος
στεῖνος	στεῖνος
συβῶτης	συβώτης
σῦν	σύν
σύριγξ	σύριγξ
συρίζω	συρίζω
σῦς	σύς
ταμών	ταμών
ταύρος	ταῦρος
ταυροφυής	ταυροφυής
ταυρώπις	ταυρώπις
τεῖχος	τεῖχος
τελεσσιγόνος	τελεσσίγονος
τερπωλὴς	τερπωλῆς
τεῦχω	τεύχω
τὶς	τίς
τῖω	τίω
τοίχος	τοῖχος
τοσσάτιος	τοσσάτιος
τότε	τότε
τούνεκʼ	τοὔνεκʼ
τοὔνεκα	τοὔνεκα
τριαῖνα	τριαῖνα
τριαίνη	τριαίνη
τρυφάλεια	τρυφάλεια
τύρος	τυρός
υἱωνός	υἱωνός
ὕλη	ὕλη
ὑμέναιος	ὑμέναιος
ὑποβρυχῖος	ὑποβρύχιος
ὑπωρόφιος	ὑπωρόφιος
ὑστάτιος	ὑστάτιος
ὑψιτενὴς	ὑψιτενής
φαιδρὸς	φαιδρός
φάρμακον	φάρμακον
φάρος	φᾶρος
φάτιζω	φάτιζω
φλογερός	φλογερός
φονῖος	φόνιος
φρικτός	φρικτός
φύτευω	φυτεύω
χαράσσω	χαράσσω
χείλος	χεῖλος
χειμερῖος	χειμέριος
χεῦμα	χεῦμα
χεύω	χεῦω
χηλή	χηλή
χθόνιος	χθόνιος
χορεία	χορεία
χορὸς	χορός
χρεώ	χρεώ
χρίω	χρίω
χρύση	χρυσῆ
ψάμαθος	ψάμαθος
ψευδαλέος	ψευδαλέος
ὠκυπόρος	ὠκύπορος
ὦμος	ὦμος
βιὸς	βιός
ὃς	ὅς
ποτός	ποτός
Δηριάδης	Δηριάδης
Κυπρίδιος	Κυπρίδιος
Νηρεῒς	Νηρεΐς
Σάτυρος	Σάτυρος
Τηλέμαχος	Τηλέμαχος
Φαίηκες	Φαίηκες
αἰθερίος	αἰθέριος
ἁλῖος	ἅλιος
ἀναγκαῖος	ἀναγκαῖος
γαμῖος	γάμιος
δαΐς	δαίς
δήϊος	δηῖος
ἐκ	ἐκ
ἐν	ἐν
ἔτερος	ἕτερος
ἐΰ	εὖ
εὐπλόκαμος	εὐπλόκαμος
ἐυφροσύνη	εὐφροσύνη
ἐΰφρων	εὔφρων
ζυγίος	ζύγιος
ᾗχι	ἧχι
θεαίνα	θεαῖνα
ἱμερτὴς	ἱμερτής
κενεὸς	κενεός
κληῖς	κληῖς
κουριδίος	κουρίδιος
λάσιος	λασίος
μινυνθάδιος	μινυνθαδῖος
νηίς	νῆις
ξάνθος	ξανθός
ὀϊζὺς	ὀϊζύς
ὀΐομαι	οἴομαι
ὀμίχλη	ὁμίχλη
τρίαινα	τριαῖνα
ὑπωροφίος	ὑπωρόφιος
φονίος	φόνιος
